x,Time
1538,100.1
1539,100.134
1540,100.166
1541,100.2
1542,100.233
1543,100.266
1544,100.299
1546,100.333
1547,100.366
1548,100.4
1550,100.433
1552,100.466
1554,100.499
1556,100.533
1557,100.567
1558,100.6
1559,100.65
1560,100.7
1561,100.733
1562,100.766
1563,100.8
1564,100.833
1565,100.867
1566,100.9
1567,100.983
1568,101.067
1569,101.1
1570,101.134
1571,101.167
1572,101.201
1573,101.233
1575,101.267
1576,101.3
1577,101.333
1578,101.367
1579,101.417
1580,101.45
1581,101.484
1583,101.517
1585,101.55
1587,101.585
1592,101.617
1595,101.65
1597,101.685
1598,101.717
1599,101.75
1600,101.785
1601,101.817
1602,101.851
1603,101.901
1605,101.935
1608,101.967
1610,102.001
1612,102.034
1613,102.068
1614,102.101
1615,102.135
1616,102.168
1617,102.218
1618,102.268
1619,102.318
1620,102.351
1621,102.385
1622,102.418
1623,102.451
1624,102.485
1626,102.518
1628,102.551
1630,102.585
1634,102.619
1639,102.652
1642,102.685
1643,102.718
1644,102.751
1645,102.785
1645,102.818
1646,102.869
1646,102.902
1646,102.935
1646,103.019
1646,103.068
1646,103.119
1646,103.17
1645,103.203
1645,103.235
1645,103.302
1645,103.402
1645,103.503
1647,104.453
1648,104.487
1649,104.52
1650,104.553
1651,104.587
1652,104.62
1654,104.654
1655,104.703
1656,104.738
1657,104.77
1658,104.804
1659,104.837
1661,104.87
1662,104.904
1663,104.937
1664,104.97
1664,105.003
1665,105.037
1665,105.071
1666,105.105
1667,105.139
1667,105.171
1668,105.204
1668,105.238
1669,105.271
1670,105.305
1671,105.338
1672,105.388
1673,105.421
1674,105.455
1675,105.488
1677,105.521
1678,105.555
1679,105.588
1681,105.621
1682,105.655
1683,105.721
1684,105.788
1684,105.821
1684,105.855
1685,105.888
1686,105.922
1687,105.955
1687,106.005
1688,106.039
1689,106.088
1690,106.189
1691,106.305
1692,106.339
1693,106.372
1694,106.405
1695,106.438
1696,106.472
1697,106.506
1698,106.556
1699,106.655
1700,106.724
1701,106.756
1703,106.789
1704,106.822
1705,106.856
1706,106.889
1707,106.922
1709,106.956
1710,106.99
1711,107.056
1711,107.09
1713,107.123
1714,107.156
1715,107.19
1716,107.223
1717,107.256
1718,107.29
1718,107.34
1719,107.373
1719,107.406
1721,107.44
1722,107.474
1723,107.506
1724,107.556
1725,107.59
1726,107.624
1727,107.657
1729,107.69
1730,107.723
1732,107.756
1733,107.79
1734,107.84
1735,107.89
1736,107.923
1737,107.957
1738,107.99
1738,108.023
1739,108.057
1739,108.09
1740,108.14
1740,108.174
1741,108.207
1741,108.258
1741,108.291
1742,108.324
1742,108.357
1742,108.39
1742,108.424
1742,108.457
1742,108.491
1742,108.524
1742,108.558
1742,108.592
1742,108.641
1742,108.675
1742,108.741
1742,108.808
1743,108.891
1743,108.925
1743,108.958
1744,108.991
1745,109.091
1746,109.125
1748,109.158
1750,109.192
1751,109.225
1752,109.258
1753,109.309
1752,109.609
1751,109.692
1750,109.725
1749,109.792
1748,109.876
1749,110.176
1749,110.209
1749,110.242
1749,110.276
1750,110.31
1750,110.343
1750,110.376
1750,110.426
1750,110.526
1750,110.593
1750,110.627
1750,110.693
1750,110.76
1750,110.876
1750,110.944
1750,110.993
1750,111.043
1750,111.094
1750,111.126
1750,111.16
1750,111.21
1750,111.243
1750,111.277
1750,111.31
1750,111.36
1750,111.411
1750,111.511
1750,111.577
1750,111.677
1751,111.728
1751,111.811
1751,111.945
1751,112.061
1751,112.145
1751,112.195
1751,112.229
1751,112.278
1751,112.311
1751,112.362
1751,112.395
1751,112.461
1751,112.528
1751,112.612
1751,112.662
1752,112.711
1752,112.745
1752,112.795
1752,112.845
1752,112.912
1752,113.012
1752,113.112
1752,113.195
1752,113.262
1752,113.329
1752,113.413
1752,113.479
1752,113.546
1752,113.613
1752,113.679
1752,113.746
1752,113.812
1752,113.896
1752,113.93
1752,113.98
1752,114.013
1752,114.046
1752,114.096
1752,114.147
1752,114.197
1752,114.263
1752,114.33
1752,114.397
1752,114.446
1752,114.497
1752,114.547
1753,114.58
1753,114.614
1753,114.647
1753,114.698
1753,114.764
1753,114.813
1753,114.88
1753,114.947
1753,115.047
1753,115.097
1753,115.148
1753,115.214
1753,115.298
1753,115.398
1753,115.498
1753,115.598
1753,115.665
1753,115.731
1753,115.815
1753,115.898
1753,115.965
1753,116.031
1753,116.098
1753,116.165
1753,116.215
1753,116.299
1753,116.348
1753,116.398
1753,116.432
1753,116.483
1753,116.515
1753,116.549
1753,116.582
1753,116.616
1753,116.649
1753,116.682
1753,116.716
1753,116.75
1753,116.799
1754,116.832
1754,116.882
1755,117.1
1755,117.383
1756,117.416
1757,117.533
1758,117.583
1759,117.633
1760,117.75
1761,117.8
1762,117.85
1763,117.9
1763,118.801
1763,118.835
1763,118.868
1763,118.901
1763,118.935
1763,118.968
1762,119.002
1762,119.035
1762,119.068
1762,119.118
1762,119.201
1762,119.285
1762,119.318
1762,119.368
1762,119.418
1762,119.469
1762,119.502
1762,119.535
1762,119.569
1762,119.602
1763,119.635
1763,119.669
1763,119.735
1764,119.769
1764,119.852
1765,119.919
1766,120.052
1765,120.753
1765,121.103
1765,121.154
1765,121.203
1765,121.254
1765,121.287
1765,121.32
1765,121.37
1765,121.404
1765,121.453
1765,121.537
1765,121.654
1765,121.771
1767,121.839
1767,121.905
1767,122.005
1767,122.121
1767,122.205
1767,122.255
1767,122.305
1767,122.355
1767,122.421
1767,122.472
1767,122.505
1767,122.538
1767,122.571
1767,122.605
1768,122.638
1768,122.672
1768,122.755
1769,122.788
1769,122.838
1769,122.888
1769,122.922
1769,122.955
1769,122.988
1769,123.022
1769,123.055
1769,123.089
1769,123.122
1769,123.172
1769,123.222
1769,123.273
1768,123.34
1768,123.389
1768,123.439
1767,123.473
1767,123.506
1767,123.573
1767,123.606
1766,123.64
1766,123.673
1766,123.739
1766,123.806
1766,123.923
1766,124.04
1766,124.173
1766,124.29
1766,124.39
1765,124.49
1765,124.524
1765,124.64
1765,124.723
1764,124.757
1764,124.791
1764,124.857
1764,124.907
1764,124.957
1764,124.991
1764,125.057
1764,125.107
1764,125.191
1763,125.291
1763,125.325
1762,125.442
1762,125.475
1761,125.575
1761,125.608
1760,125.725
1756,125.758
1753,125.791
1750,125.825
1749,125.875
1748,125.958
1748,126.008
1749,126.108
1751,126.142
1755,126.175
1757,126.208
1758,126.242
1759,126.275
1759,126.308
1760,126.342
1760,126.442
1759,126.676
1758,126.709
1757,126.759
1756,126.842
1756,126.876
1755,126.926
1755,126.993
1754,127.059
1754,127.126
1754,127.159
1754,127.226
1754,127.293
1754,127.36
1754,127.41
1753,127.443
1753,127.476
1753,127.51
1753,127.543
1752,127.577
1752,127.61
1752,127.643
1752,127.677
1752,127.71
1751,127.743
1751,127.776
1751,127.811
1750,127.844
1750,127.877
1749,127.911
1748,127.96
1748,127.994
1747,128.027
1746,128.06
1746,128.093
1745,128.127
